id_staff,id_user,name_staff,position_staff,speciality,license_number,years_experience,id_service
1,3,Dr. Ines Hammami,Dr.,Cardiologist,LIC-10001,12,2
2,8,Dr. Ali Khelifi,Dr.,Oncologist,LIC-10002,16,1
3,14,Maryem Ghannouchi,Nurse,Cardiovascular Nursing,LIC-10003,3,2
4,17,Dr. Rania Mathlouthi,Dr.,Dermatologist,LIC-10004,10,3
5,18,Anis Mejri,Intern,General Medicine,LIC-10005,18,1
6,19,Dr. Sami Bouazizi,Dr.,Cardiac Surgeon,LIC-10006,15,2
7,22,Dr. Nizar Souissi,Dr.,Neurologist,LIC-10007,6,4
8,24,Ridha Jebali,Technician,Nuclear Medicine Specialist,LIC-10008,16,11
9,26,Dr. Tarek Souissi,Dr.,Nuclear Medicine Specialist,LIC-10009,6,11
10,29,Dr. Amine Jelassi,Dr.,Cosmetic Dermatologist,LIC-10010,25,3
11,31,Dr. Sabah Rahali,Dr.,Family Medicine,LIC-10011,31,12
12,32,Dr. Sawsen Jebali,Dr.,Thoracic Surgeon,LIC-10012,32,9
13,34,Hamza Ben Mansour,Intern,Clinical Neurophysiologist,LIC-10013,0,4
14,39,Radhia Ferchichi,Resident,Internal Medicine,LIC-10014,25,12
15,40,Rayen Douzi,Resident,Neurologist,LIC-10015,17,4
16,43,Dr. Sirine Oueslati,Dr.,Cardiologist,LIC-10016,22,2
17,44,Dr. Bechir Chérif,Dr.,General Practitioner,LIC-10017,24,12
18,46,Karim Karray,Intern,Glaucoma Specialist,LIC-10018,0,7
19,47,Dr. Lobna Chaabane,Dr.,Retinal Specialist,LIC-10019,21,7
20,49,Dr. Sabah Ben Salah,Dr.,Thoracic Surgeon,LIC-10020,15,9
21,50,Dr. Amine Haddad,Dr.,Respiratory Therapist,LIC-10021,21,9
22,51,Maryem Meddeb,Nurse,Neurosurgeon,LIC-10022,30,4
23,53,Maryem Belhaj,Nurse,Dermatopathologist,LIC-10023,3,3
24,54,Zaineb Hamrouni,Nurse,Thoracic Surgeon,LIC-10024,8,9
25,60,Rim Karray,Technician,Radiologist,LIC-10025,32,11
26,63,Amel Mansouri,Resident,Surgical Oncologist,LIC-10026,10,1
27,65,Dr. Oussama Souissi,Dr.,Internal Medicine,LIC-10027,4,12
28,66,Habib Mathlouthi,Technician,Family Medicine,LIC-10028,20,12
29,70,Dr. Elyès Boughdiri,Dr.,Hematologist,LIC-10029,22,1
30,74,Mondher Zouari,Technician,Physiotherapist,LIC-10030,26,6
31,75,Nour Nefzi,Nurse,Pediatric Surgeon,LIC-10031,13,5
32,78,Khadija Karray,Resident,Cardiac Surgeon,LIC-10032,21,2
33,82,Dr. Ferida Ben Mansour,Dr.,Family Medicine,LIC-10033,30,12
34,83,Dr. Radhia Khelifi,Dr.,Thyroid Specialist,LIC-10034,31,8
35,90,Dr. Amel Azaiez,Dr.,Neurologist,LIC-10035,13,4
36,91,Dr. Bechir Douzi,Dr.,Rheumatologist,LIC-10036,7,6
37,92,Dr. Wassim Ben Mansour,Dr.,Retinal Specialist,LIC-10037,11,7
38,93,Rania Sfar,Intern,Endocrinologist,LIC-10038,0,8
39,96,Sami Saidi,Intern,Trauma Surgeon,LIC-10039,1,10
40,100,Ghofrane Brik,Resident,Neurologist,LIC-10040,8,4
41,101,Nesrine Haddad,Technician,Pediatric Surgeon,LIC-10041,12,5
42,102,Radhia Kraiem,Resident,Internal Medicine,LIC-10042,6,12
43,103,Sabah Chebbi,Resident,Pediatric Surgeon,LIC-10043,29,5
44,104,Dr. Sara Ben Ali,Dr.,Cardiologist,LIC-10044,8,2
45,108,Dr. Faten Douzi,Dr.,Hematologist,LIC-10045,18,1
46,115,Dr. Houssem Kraiem,Dr.,Emergency Physician,LIC-10046,25,10
47,118,Adel Douzi,Resident,Pediatric Surgeon,LIC-10047,9,5
48,123,Dr. Amine Hamrouni,Dr.,Internal Medicine,LIC-10048,12,12
49,126,Dr. Nabil Meddeb,Dr.,Glaucoma Specialist,LIC-10049,35,7
50,128,Dr. Khaled Boukadida,Dr.,Thoracic Surgeon,LIC-10050,35,9
51,129,Dr. Oussama Meddeb,Dr.,Clinical Neurophysiologist,LIC-10051,8,4
52,131,Dr. Hana Sellami,Dr.,Hematologist,LIC-10052,21,1
53,132,Dr. Sirine Hammami,Dr.,Emergency Physician,LIC-10053,11,10
54,135,Hamza Bahri,Nurse,Oncologist,LIC-10054,8,1
55,136,Emna Tlili,Intern,Pulmonologist,LIC-10055,3,9
56,137,Dr. Sawsen Ben Ali,Dr.,Pediatrician,LIC-10056,34,5
57,139,Bassem Fakhfakh,Technician,Dermatopathologist,LIC-10057,32,3
58,144,Khadija Hamrouni,Intern,Critical Care Specialist,LIC-10058,1,10
59,146,Dr. Khadija Sfar,Dr.,Neurologist,LIC-10059,13,4
60,147,Dr. Maryem Tlili,Dr.,Dermatopathologist,LIC-10060,14,3
61,148,Ibtissem Mbarki,Nurse,Dermatopathologist,LIC-10061,28,3
62,149,Nour Bahri,Nurse,Neonatologist,LIC-10062,11,5
63,150,Dr. Zohra Chebbi,Dr.,Pediatric Surgeon,LIC-10063,28,5
64,153,Dr. Houssem Mzoughi,Dr.,Cardiovascular Nurse,LIC-10064,13,2
65,155,Dr. Intissar Ben Salah,Dr.,Ophthalmologist,LIC-10065,21,7
66,158,Dr. Mondher Ben Youssef,Dr.,Emergency Physician,LIC-10066,5,10
67,170,Dr. Rim Jebali,Dr.,Nuclear Medicine Specialist,LIC-10067,27,11
68,175,Dr. Nour Ferchichi,Dr.,Physiotherapist,LIC-10068,18,6
69,176,Dr. Bilel Sellami,Dr.,Pediatrician,LIC-10069,7,5
70,177,Zied Dridi,Resident,Cardiologist,LIC-10070,12,2
71,181,Cyrine Brik,Nurse,Trauma Surgeon,LIC-10071,7,10
72,183,Khaled Mbarki,Nurse,Respiratory Therapist,LIC-10072,7,9
73,185,Omar Khelifi,Intern,Ophthalmologist,LIC-10073,2,7
74,187,Mouna Zouari,Resident,Thyroid Specialist,LIC-10074,9,8
75,188,Dr. Mehdi Ben Ali,Dr.,Radiologist,LIC-10075,10,11
76,190,Zied Missaoui,Nurse,Surgical Oncologist,LIC-10076,16,1
77,193,Thouraya Belhaj,Resident,Family Medicine,LIC-10077,12,12
78,199,Ridha Mbarki,Technician,Respiratory Therapist,LIC-10078,18,9
79,201,Dr. Houda Nefzi,Dr.,Pediatric Surgeon,LIC-10079,6,5
80,205,Lobna Turki,Intern,Cardiologist,LIC-10080,0,2
81,207,Dr. Baya Bouzid,Dr.,Dermatopathologist,LIC-10081,4,3
82,208,Hamza Kraiem,Nurse,Respiratory Therapist,LIC-10082,1,9
83,209,Dr. Houda Zouari,Dr.,Diabetologist,LIC-10083,33,8
84,211,Dr. Wassim Zouari,Dr.,Ophthalmologist,LIC-10084,13,7
85,213,Mouna Ben Ali,Resident,Internal Medicine,LIC-10085,23,12
86,218,Dr. Tarek Kraiem,Dr.,Trauma Surgeon,LIC-10086,11,10
87,219,Dr. Wassim Boughanmi,Dr.,Dermatologist,LIC-10087,24,3
88,223,Yasmine Saidi,Intern,Hematologist,LIC-10088,3,1
89,224,Naima Khelifi,Intern,Cardiovascular Nurse,LIC-10089,1,2
90,227,Dr. Issam Karray,Dr.,Neonatologist,LIC-10090,31,5
91,229,Dr. Amel Nasri,Dr.,Hematologist,LIC-10091,14,1
92,230,Dr. Lobna Douzi,Dr.,Thyroid Specialist,LIC-10092,32,8
93,233,Dr. Omar Mbarki,Dr.,Trauma Surgeon,LIC-10093,22,10
94,238,Dr. Maher Mbarki,Dr.,Surgical Oncologist,LIC-10094,12,1
95,241,Dr. Nabil Mbarki,Dr.,Electrophysiologist,LIC-10095,32,2
96,243,Dr. Walid Maaloul,Dr.,Ophthalmologist,LIC-10096,32,7
97,244,Mohamed Mzoughi,Nurse,Neurosurgeon,LIC-10097,26,4
98,247,Sara Tlili,Intern,Ophthalmologist,LIC-10098,2,7
99,249,Amira Ayari,Technician,Dermatologist,LIC-10099,23,3
100,250,Dr. Mouna Jelassi,Dr.,Rheumatologist,LIC-10100,13,6
101,254,Sirine Mejri,Nurse,Radiation Oncologist,LIC-10101,26,1
102,264,Soumaya Kraiem,Intern,Radiation Oncologist,LIC-10102,1,1
103,267,Adel Fakhfakh,Nurse,Electrophysiologist,LIC-10103,32,2
104,268,Dr. Nadia Boukadida,Dr.,Physiotherapist,LIC-10104,33,6
105,273,Baya Kraiem,Resident,Dermatologist,LIC-10105,7,3
106,274,Dr. Ines Ghannouchi,Dr.,Rheumatologist,LIC-10106,1,6
107,275,Dr. Habib Zouari,Dr.,Surgical Oncologist,LIC-10107,28,1
108,276,Dr. Zaineb Kraiem,Dr.,Retinal Specialist,LIC-10108,19,7
109,277,Dr. Amel Boukadida,Dr.,Ophthalmologist,LIC-10109,10,7
110,280,Dr. Aziz Saidi,Dr.,Neurosurgeon,LIC-10110,8,4
111,281,Dr. Mehdi Hamouda,Dr.,Interventional Radiologist,LIC-10111,13,11
112,283,Dr. Adel Mansouri,Dr.,Internal Medicine,LIC-10112,33,12
113,284,Dr. Sofien Mathlouthi,Dr.,Critical Care Specialist,LIC-10113,10,10
114,286,Dr. Olfa Jebali,Dr.,Ophthalmologist,LIC-10114,18,7
115,291,Walid Mzoughi,Resident,Radiation Oncologist,LIC-10115,6,1
116,293,Rania Ben Youssef,Resident,Respiratory Therapist,LIC-10116,15,9
117,298,Fares Ferchichi,Resident,Endocrinologist,LIC-10117,33,8
118,299,Dr. Mondher Douzi,Dr.,Pediatrician,LIC-10118,18,5
119,303,Sara Rahali,Intern,Family Medicine,LIC-10119,1,12
120,305,Dr. Hedi Azaiez,Dr.,Dermatologist,LIC-10120,1,3
121,306,Omar Fakhfakh,Intern,Neurosurgeon,LIC-10121,3,4
122,309,Dr. Rim Boughdiri,Dr.,Ophthalmologist,LIC-10122,17,7
123,312,Faten Ben Salah,Intern,Pediatrician,LIC-10123,0,5
124,318,Dr. Sawsen Ben Ali,Dr.,Physiotherapist,LIC-10124,24,6
125,320,Mouna Hachani,Intern,Clinical Neurophysiologist,LIC-10125,2,4
126,321,Rami Chérif,Resident,Cardiologist,LIC-10126,9,2
127,323,Dr. Ghofrane Kraiem,Dr.,Radiation Oncologist,LIC-10127,13,1
128,330,Dr. Intissar Ayari,Dr.,Cardiovascular Nurse,LIC-10128,20,2
129,332,Dr. Aziz Lassoued,Dr.,Thoracic Surgeon,LIC-10129,10,9
130,333,Dr. Leila Ghannouchi,Dr.,Glaucoma Specialist,LIC-10130,17,7
131,340,Fethi Karray,Intern,Physiotherapist,LIC-10131,0,6
132,343,Houda Bouazizi,Technician,Glaucoma Specialist,LIC-10132,33,7
133,344,Ahmed Khelifi,Nurse,General Practitioner,LIC-10133,19,12
134,348,Dr. Ali Missaoui,Dr.,General Practitioner,LIC-10134,26,12
135,349,Dr. Mounir Zouari,Dr.,Cosmetic Dermatologist,LIC-10135,33,3
136,350,Naima Bahri,Resident,Glaucoma Specialist,LIC-10136,18,7
137,353,Dr. Rami Mathlouthi,Dr.,Dermatopathologist,LIC-10137,14,3
138,356,Dr. Aymen Hamouda,Dr.,Respiratory Therapist,LIC-10138,33,9
139,359,Intissar Brik,Nurse,Pediatrician,LIC-10139,19,5
140,362,Dr. Intissar Rahali,Dr.,Dermatologist,LIC-10140,3,3
141,363,Issam Bouzid,Nurse,Radiation Oncologist,LIC-10141,18,1
142,364,Dr. Karim Rahali,Dr.,Radiologist,LIC-10142,14,11
143,366,Dr. Issam Jebali,Dr.,Interventional Radiologist,LIC-10143,24,11
144,367,Asma Maaloul,Nurse,General Practitioner,LIC-10144,27,12
145,369,Imen Oueslati,Intern,Oncologist,LIC-10145,2,1
146,371,Fares Brik,Nurse,Cosmetic Dermatologist,LIC-10146,2,3
147,379,Dr. Meriam Fakhfakh,Dr.,Internal Medicine,LIC-10147,25,12
148,380,Dr. Rayen Nasri,Dr.,Endocrinologist,LIC-10148,21,8
149,383,Rim Souissi,Resident,Cosmetic Dermatologist,LIC-10149,15,3
150,384,Aziz Brik,Resident,Orthopedic Surgeon,LIC-10150,31,6
151,387,Dr. Salma Boukadida,Dr.,Endocrinologist,LIC-10151,12,8
152,388,Walid Missaoui,Technician,General Practitioner,LIC-10152,19,12
153,389,Dr. Ahmed Tlili,Dr.,Cosmetic Dermatologist,LIC-10153,13,3
154,392,Dr. Youssef Mzoughi,Dr.,Ophthalmologist,LIC-10154,30,7
155,395,Dr. Radhia Haddad,Dr.,Internal Medicine,LIC-10155,9,12
156,397,Dr. Aziz Rhouma,Dr.,Emergency Physician,LIC-10156,25,10
157,398,Dr. Naima Trabelsi,Dr.,Oncologist,LIC-10157,9,1
158,401,Dr. Tarek Hachani,Dr.,Pediatrician,LIC-10158,1,5
159,403,Dr. Mohamed Ben Mansour,Dr.,Thoracic Surgeon,LIC-10159,22,9
160,406,Dr. Intissar Maaloul,Dr.,Cosmetic Dermatologist,LIC-10160,29,3
161,407,Anis Tlili,Intern,Endocrinologist,LIC-10161,1,8
162,409,Rania Zghal,Nurse,Nuclear Medicine Specialist,LIC-10162,8,11
